local_id,alert_type,env,qp_team,"tier",service,resource_name,query,monitor_text,notification,warning_threshold,warning_recovery_threshold,critical_threshold,critical_recovery_threshold,remediation_steps,silenced
D-L-RUN,log,dev,data,"2",lambda,neptune-lambda-run-statement-aurora,"logs(""status:(critical OR error) service:neptune-lambda-run-statement-aurora @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-RUN,duration_metric,dev,data,"2",lambda,neptune-lambda-run-statement-aurora,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-lambda-run-statement-aurora} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-SCHEMA,log,dev,data,"2",lambda,getConnectorSchemaTables-Dev,"logs(""status:(critical OR error) service:getconnectorschematables-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-SCHEMA,duration_metric,dev,data,"2",lambda,getConnectorSchemaTables-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:getconnectorschematables-dev} > 18000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,16000,14000,18000,16000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-DATA,log,dev,data,"2",lambda,getConnectorSampleData-Dev,"logs(""status:(critical OR error) service:getconnectorsampledata-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-DATA,duration_metric,dev,data,"2",lambda,getConnectorSampleData-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:getconnectorsampledata-dev} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-CDATA,log,dev,data,"2",lambda,neptune-lambda-validatecdata-Dev,"logs(""status:(critical OR error) service:neptune-lambda-validatecdata-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-CDATA,duration_metric,dev,data,"2",lambda,neptune-lambda-validatecdata-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-lambda-validatecdata-dev} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-SPKAUR,log,dev,messaging,"2",lambda,neptune-api-lambda-sparkpost-aurora-Dev,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-aurora-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-SPKAUR,duration_metric,dev,messaging,"2",lambda,neptune-api-lambda-sparkpost-aurora-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-aurora-dev} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,5000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-SPKS3,log,dev,messaging,"2",lambda,neptune-api-lambda-sparkpost-s3-Dev,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-s3-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
